question,answer
"In 1911, Prince Henry of Prussia developed which innovation for the car?","['Rear-window wiper', 'Headlight washer', 'Windshield wiper', 'Windshield wipers', 'Wipers (car)', 'Headlamp wiper', 'Windscreen wipers', 'MAGIC VISION CONTROL', 'Intermittent windshield wiper', 'Windscreen washer', 'Headlight wiper', 'Headlamp washer', 'Wiper blade', 'Windshield washer', 'Windscreen wiper']"
What is the more familiar name for musician William Lee Conley?,"['Bill Broonzy', 'Big Bill Broonzey', 'William Lee Conley Broonzy', 'Big Bill Broonzy', 'William Broonzy']"
What is the area of New Mexico in square miles to the nearest ten thousand?,"['121,364 square miles', '121364 area', 'one hundred and twenty-one thousand, three hundred and sixty-four  area']"
What is the alternate name for Joan Molinsky?,"['Queen of Comedy', 'Heidi Abromowitz', 'Joan Rivers (TV) Show', 'Joan Alexandra Molinsky', 'Diary of a Mad Diva', 'Joan rivers', 'Heidi abromowitz', 'Joan River', 'Joan Rivers Show', 'Joan Rivers']"
What field of the arts is Patricia Neary well-known for?,"['Ballet', 'Ballet competitions', 'Ballet schools', 'Balet, India', 'Balletti', 'Ballet dancing', '1938 ballet premieres', 'Balletto', 'Balletomane', '2011 ballet premieres', '1940 ballet premieres', 'Balletomanes', '1939 ballet premieres', 'Ballet characters', 'Ballet teachers', 'Ballet dance', 'Classical Dance', 'Ballets', 'Ballet lessons', '1915 ballet premieres', '1914 ballet premieres', 'Classical dance', 'UN/LOCODE:INBLT', '1916 ballet premieres', 'Balet', 'Ballett']"
What is the biggest silk producer in Europe?,"['Environment of Italy', 'Italiën', 'Subdivisions of Italy', 'Republic of Italy', 'ItalY', 'ISO 3166-1:IT', 'Etymology of Italy', 'Itali', 'Pollution in Italy', 'Administrative divisions of Italy', 'Austrian Empire (Italy)', 'Italija', 'Italie', 'Italia', 'Italian Republic', 'Second Italian Republic', 'Italy', 'Italio', 'Repubblica Italiana', 'Itàlia', 'The Italian republic']"
What type of vehicle was the VS-300?,"['🚁', 'Helicopters', 'Civilian helicopter', 'Pescara (helicopter)', 'Cargo helicopter', 'Copter', 'Helecopter', 'List of deadliest helicopter crashes', 'Helichopper', 'Helocopter', 'Cargo Helicopter', 'Helicopter', 'Helicoptor', 'Anatomy of a helicopter']"
Where did Joseph Goebbels receive his doctorate in philosophy?,"['Heidelberg romantics', 'UN/LOCODE:DEHEI', 'Heidelberg, West Germany', 'Wieblingen', 'Heidelberg', 'Heidelberg, Germany']"
Who is the youngest son of Queen Elizabeth II?,"['Eadweard', 'Edward']"
At what time did the founder of Jehovah's Witnesses predict the end of the world?,"['one thousand, nine hundred and fourteen', '1914']"
Who discovered the wreckage of the Titanic?,"['Bob Ballard', 'Robert Duane Ballard', 'Robert Ballard', 'Robert %22Bob%22 Ballard', 'Robert d. ballard']"
What occupation did Sir David Frost's father have?,"['Clergyman', 'Clergy man', 'Priest hood', 'Clerically', 'Clerics', 'Spiritual Leader', 'Lead a religious assembly', 'Clergywomen', 'Cleric', 'Religious leader', 'Ecclesiast', 'Clergymen', 'Clergy men', 'Clergical', 'Religieux', 'History of the Priesthood', 'Clergial', 'Regular Clergy', 'Clergically', 'Church men', 'Eccleasiastic', 'Church man', 'Clergies', 'Clergy', 'The clergy', 'Churchmen', 'Person, Ecclesiastical', 'Estate of Swedish Clergy', 'Clergially', 'Priest hoods', 'Ecclesiastical Person', 'Spiritual leader', 'Preferment (Church)', 'Priesthoods', '(Fmr.) Father']"
Which Spice Girl did not have a middle name?,"['My Love Is For Real (Victoria Beckham song', 'Romeo James Beckham', 'Harper Seven Beckham', 'Posh Spice', 'Victoria addams', 'Victoria Beckham', 'Victoria Adams Beckham', 'Harper Beckham', 'Victoria Caroline Beckham', ""I'd Give It All Away"", 'Come Together (Victoria Beckham album)', 'Posh spice', 'The Hustla', 'My Love Is For Real (Victoria Beckham song)', 'Victoria beckham']"
What are the country code letters for vehicle registration in Algeria?,"['DZ (disambiguation)', 'Dz.', 'DZs', 'Dz', 'D.z.', 'DZ', 'D Z', 'D.Z.']"
What was the cause of Jock's death in Dallas?,['Helicopter accident']
"By whom was the statement made that in order to eliminate theft from the world, one must amputate the hands of the thief?","['Khomeinist', 'Air France Khomeini return flight', 'Ayatollah Khomeni', 'Grand Ayatollah Ruhollah Khomeini', 'Khomeni', 'روح الله موسوی خمینی', 'Rudollah Khomeini', 'Khomaini', 'Imam Khumayni', 'Khomeini, Ayatollah', 'Ayat Allah Khomeini', 'Ayatullah Khomeini', 'Ayat Allah Ruh Allah Khomeini', 'Khomeinism', 'Butcher of Tehran', 'Khomeyni', 'Grand Ayatullah Khomeini', 'Ayatollah Ruhollah Musavi Khomeini', 'Ayatollah Khomeini', 'The Ayatollah Khomeini', 'Ayatullah Ruhollah Khomeini', 'Imam Khomeini', 'Ruh Allah Khomeini', 'Ruhollah Mostafavi Moosavi Khomeini', 'Rouhollah Mousavi Khomeini', 'Ruholah Khomeini', 'Khumayni', 'Ayahtolla Khomeni', 'Ayatollah Ruhollah Khomeini', 'Ruhallah Khomeini', 'Rūḥullāh Mūsawī Khumaynī', 'Khomeini', 'Rouhollah Khomeini', 'Ruhollah Mousavi Khomeini', 'Ayatollah Khomeyni', 'Ruholla Khomeini', 'Ruhullah Khumayni', 'Khomeiny', 'Ayatollah Khomenei', 'Ayatollah Ruholla Khomeini', 'Ruhallah Musawial Al Khomeini', 'Ayatolla Khomeni', 'Ayatollah Ruhullah Khomeini', 'Ruhollah Khomeini', 'Ayatullah Ruhullah Khumayni', 'Ruholla Mussaui Khomeini']"
"What is the estimated area of Arkansas, rounded to the nearest 10,000 square miles?","['53,187', 'fifty-three thousand, one hundred and eighty-seven', '53187']"
Which zodiac sign does Michael Caine belong to?,"['Pisces (disambiguation)', 'Piscean', 'Picese', 'Pisces', 'Piscese', 'Pisese']"
The author of the novel Evening Class is who?,['Maeve Binchy']
What is the country of origin for Air Pacific?,"['Fiji Islands', 'Pacific/Fiji', 'Fidji', 'Matanitu Ko Viti', 'Fijis', 'Fijian Islands', 'Feejee', 'Ripablik ăph Phījī', 'Cannibal Isles', 'Sovereign Democratic Republic of Fiji', 'ISO 3166-1:FJ', 'Name of Fiji', 'Etymology of Fiji', 'Fiji Islander', 'Holidays in fiji', ""Fiji's"", 'Republic of the Fiji Islands', 'Matanitu Tugalala o Viti', 'Fiji Archipelago', 'Fiji Island', 'Fidji Islands', 'Chikoba', 'Holidays in Fiji', 'Tourism in Fiji', 'Fiji', 'Republic of Fiji']"
What field of the arts does Allegra Kent work in?,"['Ballet', 'Ballet competitions', 'Ballet schools', 'Balet, India', 'Balletti', 'Ballet dancing', '1938 ballet premieres', 'Balletto', 'Balletomane', '2011 ballet premieres', '1940 ballet premieres', 'Balletomanes', '1939 ballet premieres', 'Ballet characters', 'Ballet teachers', 'Ballet dance', 'Classical Dance', 'Ballets', 'Ballet lessons', '1915 ballet premieres', '1914 ballet premieres', 'Classical dance', 'UN/LOCODE:INBLT', '1916 ballet premieres', 'Balet', 'Ballett']"
What are the registration letters for vehicles from Belize on an international level?,"['Bh.', 'BH (disambiguation)', 'BH', 'Bh', 'B H', 'B.H.', 'B.h.']"
"Which artist reached the top of the charts in the 1970s with the hit song ""Billy, Don't Be A Hero""?","['Bo donaldson and the heywoods', 'Bo Donaldson and the Heywoods', 'Bo Donaldson and The Heywoods', 'The Heywoods', 'Bo Donaldson & the Haywoods', 'Bo Donaldson & the Heywoods', 'Bo Donaldson & The Heywoods', 'Bo Donaldson', 'Rick Joswick', 'Bo Donaldson and the Haywoods']"
What did Banting and Best pioneer in terms of usage?,"['Insulin antagonists', 'Human Mixtard', 'Insulin recombinant purified human', 'INS (gene)', 'Insulin Human', 'C65R', 'Insulin recombinant human', 'C257H383N65O77S6', 'Insulin purified pork', 'Actraphane', 'Insulin zinc susp recombinant human', 'Insuline', 'Insulin zinc susp prompt beef', 'Insullin', 'Insulin zinc susp semisynthetic purified human', 'Insulin aspart recombinant', 'B10H', 'Insulin purified beef', 'Insulin gene', 'Insulin zinc susp extended recombinant human', 'Aktrapid', 'Oral insulin', 'Insulin zinc susp purified pork', 'Human mixtard', 'Insulin zinc susp extended beef', 'Insulin zinc susp extended purified beef', 'Insulin release', 'Insulin zinc susp purified beef', 'Actrapid', 'Insulin glargine recombinant', 'Insulin zinc susp prompt purified pork', 'Insulin pork', 'Iletin i (beef-pork)', 'Iletin II', 'Insulin zinc susp beef', 'Mixtard', 'Insulin, porcine', 'Insulin']"
Which director is responsible for the movie La Dolce Vita?,"['Federico Fellini, Cavaliere di Gran Croce OMRI', 'Felini', 'Felliniesque', 'Fellini', 'Frederico Fellini', 'Federico Fellini']"
From which country does the airline LACSA originate?,"['Countries: Costa Rica', 'Costarrica', 'Republic of Costa Rica', 'Sport in Costa Rica', 'Costarica', 'The Republic of Costa Rica', 'Costa rica', 'Rich Coast', 'Costa-Rica', 'Climate of Costa Rica', 'Costa Rica', 'Costa Rican', 'República de Costa Rica', 'Climate of costa rica', 'Cosat Rica', 'Tiquicia', 'Coasta rica', 'List of Costa Ricans', 'ISO 3166-1:CR', 'America/Costa Rica', 'Coast Rice']"
Which director was responsible for 2001: A Space Odyssey?,"['Stanley Q-Brick', 'Stanley kubrick', 'Stan Kubrick', 'Stanley Kubrik', 'Kubricks', 'List of Stanley Kubrick films', 'Stanley Kubrick', 'Uncompleted Kubrick films', 'Toba metz', 'Stanley kubrik', 'Kubrick', 'Kubrik', 'Kubrickian']"
What is the biggest volcano island among the Japanese Volcano Islands?,"['Mount Surabachi', 'Iō-tō', 'Iwō Tō', 'Iwo-Jima', 'Io-jima', 'Ivo jima', 'Io To', 'Iōtō', 'Iwo To', 'Iwo Jima Island', 'Iwo Jima', 'Ioto', 'Iwoto', 'Iwo jima', 'Iwojima', 'Io Jima', 'Iō Tō', 'Iwōtō']"
In which sport was Ezzard Charles a world champion?,"['Prize fight', 'Prize fighting', 'Fistfighting', 'Corner men', 'Corner persons', 'Prize-fighter', 'Noble art', 'Boxing', 'Sports boxing', 'Western boxing', 'English boxing', 'Boxing match', 'Fistfight', 'Cornermen', 'Prizefighter', 'Low guard', 'Boxing (sport)', 'Boxing moves', 'Corner-man', 'Cornerpersons', 'Pugilism', 'Corner-person', 'Fist fight', 'Boxing punches', 'Round (boxing)', 'Pugilist', 'Boxer', 'Fist-fighting', ""Gentleman's sport"", 'Fist-fight', '拳闘', 'Cornerperson', 'Prizefights', 'History of professional boxing', 'Corner-persons', 'Fist fighting', 'Prize fighter', 'Boxers', 'Parrying (boxing)', 'History of boxing', 'Fist Fighting', 'Prize Fighter', 'Pugilistic', 'Corner-men', 'Corner person', 'Ring second', 'Hit and Away', 'Boxing Styles and Techniques']"
Which woman was the pioneer to complete a solo flight across the Atlantic?,"['Amelia airheart', 'Amelia Airhardt', 'Disappearance of Amelia Earhart', 'Amelia Airhart', 'Amelia Erhart', 'Emelia Earhart', 'Amelia Mary Earhart', 'Amelia Aerhart', 'Amelia Erhardt', 'Amelia Earheart', 'Amelia Earnhart', 'Amelia Earhart Putnam', 'Emelia Airheart', 'Amelia earhart', 'Amielia Earhart', 'Amelia airhart', 'Amelia Earhardt', 'Amelia Earhart Life Summary', 'Amelia Earhart', 'Amelia Airheart']"
What is the name of the port located between Puget Sound and Lake Washington?,"['Seattle, Washington.', 'Seattle Weekly news', 'Jet City', 'Seattle, Washington, USA', 'Seattle WA', 'Seattle, United States of America', '舍路', 'City of Seattle', 'Seattle Washington', 'Seattle, US-WA', 'Seattle (WA)', 'Seattle, Wa', 'Seattle, WA', 'Seattle, Washington', 'St. Anne Seattle', 'Seattle (Wash.)', 'The weather in Seattle', 'Seattle, Washington (State)', 'Emerald City, Washington', 'Seattleans', ""Seattle's"", 'Seattle, Wash.', 'Duwamps', 'St. Anne School, Seattle, Washington', 'Seattle, wa', 'Seattleites', 'Seattle, Washington Territory', 'Seattle, United States', 'Seatle', 'Seattle, USA', 'UN/LOCODE:USSEA', 'St. Anne School (Seattle, Washington)', 'Seattle', 'Seattle, WA, USA']"
Which city saw the establishment of Rotary Clubs in 1905?,"['Chi-Beria', 'Sayre language academy', 'Chicago', 'Chicago, Illinois', 'Hog Butcher for the World', 'Land of smelly onions', 'Ariel Community Academy', 'The weather in Chicago', 'Chicago, Illinois, U.S.A.', 'Chicago, Illionis', 'Near North Montessori', 'Religion in Chicago', 'Chicago Finance Committee', 'The Paris of America', 'The city of Chicago', 'City of Chicago', 'List of sister cities of Chicago', 'UN/LOCODE:USCHI', 'Chicago theatre scene', 'Chicago, WI', 'The City of Broad Shoulders', 'City of Broad Shoulders', 'Sister Cities of Chicago', 'Chicago il', 'Chicago, Illinois, USA', 'Performing arts in Chicago', 'Chicago Transportation Committee', 'Chicago, Wisconsin', 'City of chicago', 'Chicago theater scene', 'Chicago, Il', 'Chicago, IL.', 'Chicago, Ill.', 'City of Chicago, Illinois', 'Chi town', 'Chicago, United States', 'Chicago (Ill.)', 'Transport in Chicago', 'Chicago, Illinois, United States', 'Chicago (IL)', 'USCHI', 'Chichago', 'Chcago', 'Chicago, Illinois, U.S.', 'Sister Cities Chicago', 'Chicago, USA', 'Chi City', 'Chicago, IL', 'Chi-Town', 'Chicago theatre', 'Paris of America', 'Chicago, Illinois, US', 'Chicago Illinois', 'The city of Chicago, Illinois', 'Sister cities of Chicago']"
"When Spiro Agnew resigned, who assumed the role of US Vice President?","['President Gerald R. Ford', 'Gerald R. Ford Jr.', 'Assassination attempts on Gerald Ford', 'Leslie Lynch King Jr.', 'Leslie L King', 'Leslie King, Jr.', 'Ford administration', 'Gerald R Ford', 'Leslie Lynch King, Jr', 'Birth and life of Gerald Ford', 'Leslie Lynch King', 'Presidency of Gerald Ford administration', 'Gerald fod', 'Vice President Ford', 'Nixon pardon', 'Ford Administration', 'Presidency of Gerald R. Ford', 'Jerry Ford', 'U.S. President Gerald Ford', 'Gerald Rudolph Ford', 'Gerald R. Ford', 'Presidency of Gerald Ford', 'Gerald ford', 'Gerald R. Ford, Jr', 'Gerald Rudolph Ford Jr.', 'Presidency of gerald ford', 'Gerald Rudolph, Jr. Ford', 'President Gerald Ford', 'Gerald Ford, Jr.', 'Gerald R. Ford, Jr.', 'Gerry Ford', 'Leslie Lynch King Jr', 'Gerald Ford', 'Leslie L. King', 'Leslie Lynch King, Jr.', '38th President of the United States', 'Leslie King, Jr', 'President Ford', 'Gerald Rudolph Ford, Jr.']"
During which time period in the 1900s was Billy Crystal born?,"['The Forties', '1940–1949', '%6040s', '1940s', 'Nineteen-forties', '1940s literature', ""'40s"", '1940-1949', ""1940's"", '1940s (decade)']"
Who was the George that invented the Kodak roll-film camera?,"['Eastman', 'Eastman (disambiguation)']"
