text_input,output
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Aircraft"": ['Robinson R-22', 'Bell 206B3 JetRanger', 'CH-47D Chinook', 'Mil Mi-26', 'CH-53E Super Stallion']
""Description"": ['Light utility helicopter', 'Turboshaft utility helicopter', 'Tandem rotor helicopter', 'Heavy-lift helicopter', 'Heavy-lift helicopter']
""Max Gross Weight"": ['1,370 lb (635 kg)', '3,200 lb (1,451 kg)', '50,000 lb (22,680 kg)', '123,500 lb (56,000 kg)', '73,500 lb (33,300 kg)']
""Total disk area"": ['497 ft² (46.2 m²)', '872 ft² (81.1 m²)', '5,655 ft² (526 m²)', '8,495 ft² (789 m²)', '4,900 ft² (460 m²)']
""Max disk Loading"": ['2.6 lb/ft² (14 kg/m²)', '3.7 lb/ft² (18 kg/m²)', '8.8 lb/ft² (43 kg/m²)', '14.5 lb/ft² (71 kg/m²)', '15 lb/ft² (72 kg/m²)']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: What if the description of a ch-47d chinook?
    SQL: ","SELECT ""Description"" FROM ""table"" WHERE ""Aircraft"" ILIKE 'CH-47D Chinook'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Aircraft"": ['Robinson R-22', 'Bell 206B3 JetRanger', 'CH-47D Chinook', 'Mil Mi-26', 'CH-53E Super Stallion']
""Description"": ['Light utility helicopter', 'Turboshaft utility helicopter', 'Tandem rotor helicopter', 'Heavy-lift helicopter', 'Heavy-lift helicopter']
""Max Gross Weight"": ['1,370 lb (635 kg)', '3,200 lb (1,451 kg)', '50,000 lb (22,680 kg)', '123,500 lb (56,000 kg)', '73,500 lb (33,300 kg)']
""Total disk area"": ['497 ft² (46.2 m²)', '872 ft² (81.1 m²)', '5,655 ft² (526 m²)', '8,495 ft² (789 m²)', '4,900 ft² (460 m²)']
""Max disk Loading"": ['2.6 lb/ft² (14 kg/m²)', '3.7 lb/ft² (18 kg/m²)', '8.8 lb/ft² (43 kg/m²)', '14.5 lb/ft² (71 kg/m²)', '15 lb/ft² (72 kg/m²)']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: What is the max gross weight of the Robinson R-22?
    SQL: ","SELECT ""Max Gross Weight"" FROM ""table"" WHERE ""Aircraft"" ILIKE 'Robinson R-22'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Player"": ['Quincy Acy', 'Hassan Adams', 'Alexis Ajinça', 'Solomon Alabi', 'Rafer Alston', 'David Andersen', 'Alan Anderson', 'Willie Anderson', 'Rafael Araújo', 'Robert Archibald']
""No."": ['4', '3', '42', '50', '11, 12', '13', '6', '40', '55', '34']
""Nationality"": ['United States', 'United States', 'France', 'Nigeria', 'United States', 'Australia', 'United States', 'United States', 'Brazil', 'Scotland']
""Position"": ['Forward', 'Guard-Forward', 'Center', 'Center', 'Guard', 'Center', 'Guard-Forward', 'Guard-Forward', 'Center', 'Center']
""Years in Toronto"": ['2012-present', '2008-09', '2011', '2010-2012', '2002-03, 2004-05', '2010', '2012-2013', '1995-96', '2004-06', '2004']
""School/Club Team"": ['Baylor', 'Arizona', 'Hyères-Toulon ( France )', 'Florida State', 'Fresno State', 'Virtus Bologna ( Italy )', 'Michigan State', 'Georgia', 'BYU', 'Illinois']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: What school did player number 6 come from?
    SQL: ","SELECT ""School/Club Team"" FROM ""table"" WHERE ""No."" ILIKE '6'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Player"": ['Quincy Acy', 'Hassan Adams', 'Alexis Ajinça', 'Solomon Alabi', 'Rafer Alston', 'David Andersen', 'Alan Anderson', 'Willie Anderson', 'Rafael Araújo', 'Robert Archibald']
""No."": ['4', '3', '42', '50', '11, 12', '13', '6', '40', '55', '34']
""Nationality"": ['United States', 'United States', 'France', 'Nigeria', 'United States', 'Australia', 'United States', 'United States', 'Brazil', 'Scotland']
""Position"": ['Forward', 'Guard-Forward', 'Center', 'Center', 'Guard', 'Center', 'Guard-Forward', 'Guard-Forward', 'Center', 'Center']
""Years in Toronto"": ['2012-present', '2008-09', '2011', '2010-2012', '2002-03, 2004-05', '2010', '2012-2013', '1995-96', '2004-06', '2004']
""School/Club Team"": ['Baylor', 'Arizona', 'Hyères-Toulon ( France )', 'Florida State', 'Fresno State', 'Virtus Bologna ( Italy )', 'Michigan State', 'Georgia', 'BYU', 'Illinois']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: What school did the player that has been in Toronto from 2012-present come from?
    SQL: ","SELECT ""School/Club Team"" FROM ""table"" WHERE ""Years in Toronto"" ILIKE '2012-present'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Player"": ['Quincy Acy', 'Hassan Adams', 'Alexis Ajinça', 'Solomon Alabi', 'Rafer Alston', 'David Andersen', 'Alan Anderson', 'Willie Anderson', 'Rafael Araújo', 'Robert Archibald']
""No."": ['4', '3', '42', '50', '11, 12', '13', '6', '40', '55', '34']
""Nationality"": ['United States', 'United States', 'France', 'Nigeria', 'United States', 'Australia', 'United States', 'United States', 'Brazil', 'Scotland']
""Position"": ['Forward', 'Guard-Forward', 'Center', 'Center', 'Guard', 'Center', 'Guard-Forward', 'Guard-Forward', 'Center', 'Center']
""Years in Toronto"": ['2012-present', '2008-09', '2011', '2010-2012', '2002-03, 2004-05', '2010', '2012-2013', '1995-96', '2004-06', '2004']
""School/Club Team"": ['Baylor', 'Arizona', 'Hyères-Toulon ( France )', 'Florida State', 'Fresno State', 'Virtus Bologna ( Italy )', 'Michigan State', 'Georgia', 'BYU', 'Illinois']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: What school did the player that has been in Toronto from 2010-2012 go to?
    SQL: ","SELECT ""School/Club Team"" FROM ""table"" WHERE ""Years in Toronto"" ILIKE '2010-2012'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Player"": ['Quincy Acy', 'Hassan Adams', 'Alexis Ajinça', 'Solomon Alabi', 'Rafer Alston', 'David Andersen', 'Alan Anderson', 'Willie Anderson', 'Rafael Araújo', 'Robert Archibald']
""No."": ['4', '3', '42', '50', '11, 12', '13', '6', '40', '55', '34']
""Nationality"": ['United States', 'United States', 'France', 'Nigeria', 'United States', 'Australia', 'United States', 'United States', 'Brazil', 'Scotland']
""Position"": ['Forward', 'Guard-Forward', 'Center', 'Center', 'Guard', 'Center', 'Guard-Forward', 'Guard-Forward', 'Center', 'Center']
""Years in Toronto"": ['2012-present', '2008-09', '2011', '2010-2012', '2002-03, 2004-05', '2010', '2012-2013', '1995-96', '2004-06', '2004']
""School/Club Team"": ['Baylor', 'Arizona', 'Hyères-Toulon ( France )', 'Florida State', 'Fresno State', 'Virtus Bologna ( Italy )', 'Michigan State', 'Georgia', 'BYU', 'Illinois']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: What position did the player from Baylor play?
    SQL: ","SELECT ""Position"" FROM ""table"" WHERE ""School/Club Team"" ILIKE 'Baylor'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Player"": [""Patrick O'Bryant"", ""Jermaine O'Neal"", ""Dan O'Sullivan"", 'Charles Oakley', 'Hakeem Olajuwon']
""No."": ['13', '6', '45', '34', '34']
""Nationality"": ['United States', 'United States', 'United States', 'United States', 'Nigeria / United States']
""Position"": ['Center', 'Forward-Center', 'Center', 'Forward', 'Center']
""Years in Toronto"": ['2009-10', '2008-09', '1995-96', '1998-2001', '2001-02']
""School/Club Team"": ['Bradley', 'Eau Claire High School', 'Fordham', 'Virginia Union', 'Houston']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: Who played in the Toronto Raptors from 1995-96?
    SQL: ","SELECT ""Player"" FROM ""table"" WHERE ""Years in Toronto"" ILIKE '1995-96'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Player"": [""Patrick O'Bryant"", ""Jermaine O'Neal"", ""Dan O'Sullivan"", 'Charles Oakley', 'Hakeem Olajuwon']
""No."": ['13', '6', '45', '34', '34']
""Nationality"": ['United States', 'United States', 'United States', 'United States', 'Nigeria / United States']
""Position"": ['Center', 'Forward-Center', 'Center', 'Forward', 'Center']
""Years in Toronto"": ['2009-10', '2008-09', '1995-96', '1998-2001', '2001-02']
""School/Club Team"": ['Bradley', 'Eau Claire High School', 'Fordham', 'Virginia Union', 'Houston']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: Which number was Patrick O'Bryant?
    SQL: ","SELECT ""No."" FROM ""table"" WHERE ""Player"" ILIKE 'Patrick O''Bryant'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Player"": [""Patrick O'Bryant"", ""Jermaine O'Neal"", ""Dan O'Sullivan"", 'Charles Oakley', 'Hakeem Olajuwon']
""No."": ['13', '6', '45', '34', '34']
""Nationality"": ['United States', 'United States', 'United States', 'United States', 'Nigeria / United States']
""Position"": ['Center', 'Forward-Center', 'Center', 'Forward', 'Center']
""Years in Toronto"": ['2009-10', '2008-09', '1995-96', '1998-2001', '2001-02']
""School/Club Team"": ['Bradley', 'Eau Claire High School', 'Fordham', 'Virginia Union', 'Houston']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: What school did Patrick O'Bryant play for?
    SQL: ","SELECT ""School/Club Team"" FROM ""table"" WHERE ""Player"" ILIKE 'Patrick O''Bryant'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Player"": [""Patrick O'Bryant"", ""Jermaine O'Neal"", ""Dan O'Sullivan"", 'Charles Oakley', 'Hakeem Olajuwon']
""No."": ['13', '6', '45', '34', '34']
""Nationality"": ['United States', 'United States', 'United States', 'United States', 'Nigeria / United States']
""Position"": ['Center', 'Forward-Center', 'Center', 'Forward', 'Center']
""Years in Toronto"": ['2009-10', '2008-09', '1995-96', '1998-2001', '2001-02']
""School/Club Team"": ['Bradley', 'Eau Claire High School', 'Fordham', 'Virginia Union', 'Houston']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: How many number does Fordham school have?
    SQL: ","SELECT COUNT(""No."") FROM ""table"" WHERE ""School/Club Team"" ILIKE 'Fordham'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Player"": [""Patrick O'Bryant"", ""Jermaine O'Neal"", ""Dan O'Sullivan"", 'Charles Oakley', 'Hakeem Olajuwon']
""No."": ['13', '6', '45', '34', '34']
""Nationality"": ['United States', 'United States', 'United States', 'United States', 'Nigeria / United States']
""Position"": ['Center', 'Forward-Center', 'Center', 'Forward', 'Center']
""Years in Toronto"": ['2009-10', '2008-09', '1995-96', '1998-2001', '2001-02']
""School/Club Team"": ['Bradley', 'Eau Claire High School', 'Fordham', 'Virginia Union', 'Houston']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: Which school was in Toronto in 2001-02?
    SQL: ","SELECT ""School/Club Team"" FROM ""table"" WHERE ""Years in Toronto"" ILIKE '2001-02'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Player"": ['John Wallace', 'Sonny Weems', 'Donald Whiteside', 'Dwayne Whitfield', 'Aaron Williams', 'Alvin Williams', 'Eric Williams', 'Herb Williams', 'Jerome Williams', 'Micheal Williams']
""No."": ['44', '24', '12', '23', '34', '20', '17', '32', '13', '14']
""Nationality"": ['United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States']
""Position"": ['Forward', 'Guard', 'Guard', 'Forward', 'Forward-Center', 'Guard', 'Forward', 'Forward-Center', 'Forward', 'Guard']
""Years in Toronto"": ['1997-99', '2009-2011', '1996-97', '1995-96', '2004-05', '1998-2006', '2004-06', '1996', '2001-03', '1998-99']
""School/Club Team"": ['Syracuse', 'Arkansas', 'Northern Illinois', 'Jackson State', 'Xavier (Ohio)', 'Villanova', 'Providence', 'Ohio State', 'Georgetown', 'Baylor']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: Which school did the player that played 2004-05 attend?
    SQL: ","SELECT ""School/Club Team"" FROM ""table"" WHERE ""Years in Toronto"" ILIKE '2004-05'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Player"": ['John Wallace', 'Sonny Weems', 'Donald Whiteside', 'Dwayne Whitfield', 'Aaron Williams', 'Alvin Williams', 'Eric Williams', 'Herb Williams', 'Jerome Williams', 'Micheal Williams']
""No."": ['44', '24', '12', '23', '34', '20', '17', '32', '13', '14']
""Nationality"": ['United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States', 'United States']
""Position"": ['Forward', 'Guard', 'Guard', 'Forward', 'Forward-Center', 'Guard', 'Forward', 'Forward-Center', 'Forward', 'Guard']
""Years in Toronto"": ['1997-99', '2009-2011', '1996-97', '1995-96', '2004-05', '1998-2006', '2004-06', '1996', '2001-03', '1998-99']
""School/Club Team"": ['Syracuse', 'Arkansas', 'Northern Illinois', 'Jackson State', 'Xavier (Ohio)', 'Villanova', 'Providence', 'Ohio State', 'Georgetown', 'Baylor']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: Which position does Loren Woods play?
    SQL: ","SELECT ""Position"" FROM ""table"" WHERE ""Player"" ILIKE 'Loren Woods'"
